Source:,C:\Users\blakesd\OneDrive - Rose-Hulman Institute of Technology\Documents\Lobotomizer\Lobotomizer.sch,,,,
Date:,2/6/2022 17:32,,,,
Tool:,Eeschema (5.1.12)-1,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,
Component Count:,201,,,,
,,,,,
Individual Components:,,,,,
,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint
,,C1,1n,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C2,680p,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C101,100n,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C102,10n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C103,470p,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C104,4.7u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C105,4.7u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C106,100n,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C107,330n,Device:C,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C201,22n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C202,1n,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C203,100p,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C204,220n,Device:C,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C205,100n,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C206,100p,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
,,C209,2.2u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C210,47n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C211,10n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C212,2.2n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C213,10n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C214,2.2u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C215,22n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C216,100u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C217,47n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
,,C218,47u,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm
,,C219,47n,Device:C,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm
